,Day,Time,Sensor_ID,Hourly_Counts,lat,lon
160,Friday,2,39,8.0,-37.81379749,144.96995745
161,Friday,2,40,9.0,-37.80999341,144.97227588
162,Friday,2,41,151.0,-37.81668633,144.96689733
163,Friday,2,42,17.0,-37.80008565,144.96386412
164,Friday,2,43,6.0,-37.79844525,144.96411782
165,Friday,2,44,5.0,-37.79690473,144.96440378
166,Friday,2,45,59.0,-37.81414074,144.9660938
167,Friday,2,46,2.0,-37.80240719,144.96156731
168,Friday,2,47,83.0,-37.81160331,144.96220077
169,Friday,2,48,15.0,-37.80631581,144.95866698
170,Friday,2,49,37.0,-37.80730067,144.95956055
171,Friday,2,50,11.0,-37.79808191,144.96721014
172,Friday,2,51,15.0,-37.80841814,144.95906317
173,Friday,2,52,38.0,-37.81252157,144.9619401
174,Friday,2,53,31.0,-37.8156419,144.965499
175,Friday,2,54,11.0,-37.804024,144.963084
176,Friday,2,55,79.0,-37.81006172,144.96142335
177,Friday,2,56,20.0,-37.81234775,144.96153311
178,Friday,2,57,13.0,-37.8176735,144.95025595
179,Friday,2,58,50.0,-37.81686074,144.95358075
180,Friday,2,59,44.0,-37.80825648,144.96304859
181,Friday,2,60,107.0,-37.81668188,144.96689540000003
182,Friday,2,61,20.0,-37.80767455,144.96309115
183,Friday,3,1,35.0,-37.813494399999996,144.96515324
184,Friday,3,2,32.0,-37.81380667,144.96516719
185,Friday,3,3,101.0,-37.81101523,144.96429485
186,Friday,3,4,89.0,-37.81487988,144.9660878
187,Friday,3,5,54.0,-37.81874249,144.96787656
188,Friday,3,6,49.0,-37.81911704,144.96558256
189,Friday,3,7,12.0,-37.81862929,144.97169395
190,Friday,3,8,2.0,-37.82293543,144.94717511
191,Friday,3,9,5.0,-37.81982992,144.95102556
192,Friday,3,10,5.0,-37.81876473,144.94710545
193,Friday,3,11,3.0,-37.81564989,144.93970695
194,Friday,3,12,6.0,-37.81457987,144.94292398
195,Friday,3,13,9.0,-37.81239679,144.95652653
196,Friday,3,14,23.0,-37.82011242,144.96291898
197,Friday,3,15,32.0,-37.81064378,144.96447132
198,Friday,3,16,14.0,-37.81573423,144.96521044
199,Friday,3,17,12.0,-37.81362542,144.97323592
200,Friday,3,18,6.0,-37.81344861,144.97305354
201,Friday,3,19,44.0,-37.81237202,144.96550671
202,Friday,3,20,67.0,-37.81172913,144.96824660000001
203,Friday,3,21,178.0,-37.81244703,144.96778757
204,Friday,3,22,95.0,-37.81786445,144.96506823
205,Friday,3,23,17.0,-37.81909256,144.95452749
206,Friday,3,24,26.0,-37.81887962,144.95449198
207,Friday,3,25,28.0,-37.82401776,144.95604426
208,Friday,3,26,53.0,-37.80869542,144.96049404
209,Friday,3,27,7.0,-37.80606888,144.95644693
210,Friday,3,28,43.0,-37.82129924,144.96879309
211,Friday,3,29,12.0,-37.81965808,144.96863453
212,Friday,3,30,104.0,-37.81121849,144.96656807
213,Friday,3,31,11.0,-37.8016968,144.96658911
214,Friday,3,32,51.0,-37.81573742,144.96685718
215,Friday,3,33,4.0,-37.81483252,144.97454056
216,Friday,3,34,7.0,-37.81537985,144.97415049999998
217,Friday,3,35,59.0,-37.82017828,144.96508877
218,Friday,3,36,20.0,-37.81652527,144.96121063
219,Friday,3,37,6.0,-37.80310271,144.96671452
220,Friday,3,38,239.0,-37.81723437,144.96715033
221,Friday,3,39,6.0,-37.81379749,144.96995745
222,Friday,3,40,7.0,-37.80999341,144.97227588
223,Friday,3,41,122.0,-37.81668633,144.96689733
224,Friday,3,42,12.0,-37.80008565,144.96386412
225,Friday,3,43,4.0,-37.79844525,144.96411782
226,Friday,3,44,3.0,-37.79690473,144.96440378
227,Friday,3,45,43.0,-37.81414074,144.9660938
228,Friday,3,46,2.0,-37.80240719,144.96156731
229,Friday,3,47,71.0,-37.81160331,144.96220077
230,Friday,3,48,12.0,-37.80631581,144.95866698
231,Friday,3,49,29.0,-37.80730067,144.95956055
232,Friday,3,50,7.0,-37.79808191,144.96721014
233,Friday,3,51,11.0,-37.80841814,144.95906317
234,Friday,3,52,23.0,-37.81252157,144.9619401
235,Friday,3,53,22.0,-37.8156419,144.965499
236,Friday,3,54,9.0,-37.804024,144.963084
237,Friday,3,55,55.0,-37.81006172,144.96142335
238,Friday,3,56,17.0,-37.81234775,144.96153311
239,Friday,3,57,13.0,-37.8176735,144.95025595
240,Friday,3,58,25.0,-37.81686074,144.95358075
241,Friday,3,59,28.0,-37.80825648,144.96304859
242,Friday,3,60,97.0,-37.81668188,144.96689540000003
243,Friday,3,61,19.0,-37.80767455,144.96309115
244,Friday,4,1,28.0,-37.813494399999996,144.96515324
245,Friday,4,2,24.0,-37.81380667,144.96516719
246,Friday,4,3,50.0,-37.81101523,144.96429485
247,Friday,4,4,70.0,-37.81487988,144.9660878
248,Friday,4,5,56.0,-37.81874249,144.96787656
249,Friday,4,6,65.0,-37.81911704,144.96558256
250,Friday,4,7,15.0,-37.81862929,144.97169395
251,Friday,4,8,3.0,-37.82293543,144.94717511
252,Friday,4,9,7.0,-37.81982992,144.95102556
253,Friday,4,10,5.0,-37.81876473,144.94710545
254,Friday,4,11,3.0,-37.81564989,144.93970695
255,Friday,4,12,5.0,-37.81457987,144.94292398
256,Friday,4,13,9.0,-37.81239679,144.95652653
257,Friday,4,14,44.0,-37.82011242,144.96291898
258,Friday,4,15,22.0,-37.81064378,144.96447132
259,Friday,4,16,14.0,-37.81573423,144.96521044
260,Friday,4,17,15.0,-37.81362542,144.97323592
261,Friday,4,18,6.0,-37.81344861,144.97305354
262,Friday,4,19,28.0,-37.81237202,144.96550671
263,Friday,4,20,41.0,-37.81172913,144.96824660000001
264,Friday,4,21,119.0,-37.81244703,144.96778757
265,Friday,4,22,82.0,-37.81786445,144.96506823
266,Friday,4,23,13.0,-37.81909256,144.95452749
267,Friday,4,24,33.0,-37.81887962,144.95449198
268,Friday,4,25,22.0,-37.82401776,144.95604426
269,Friday,4,26,40.0,-37.80869542,144.96049404
270,Friday,4,27,6.0,-37.80606888,144.95644693
271,Friday,4,28,56.0,-37.82129924,144.96879309
272,Friday,4,29,16.0,-37.81965808,144.96863453
273,Friday,4,30,76.0,-37.81121849,144.96656807
274,Friday,4,31,13.0,-37.8016968,144.96658911
275,Friday,4,32,40.0,-37.81573742,144.96685718
276,Friday,4,33,7.0,-37.81483252,144.97454056
277,Friday,4,34,8.0,-37.81537985,144.97415049999998
278,Friday,4,35,68.0,-37.82017828,144.96508877
279,Friday,4,36,13.0,-37.81652527,144.96121063
280,Friday,4,37,5.0,-37.80310271,144.96671452
281,Friday,4,38,247.0,-37.81723437,144.96715033
282,Friday,4,39,9.0,-37.81379749,144.96995745
283,Friday,4,40,7.0,-37.80999341,144.97227588
284,Friday,4,41,116.0,-37.81668633,144.96689733
285,Friday,4,42,14.0,-37.80008565,144.96386412
286,Friday,4,43,3.0,-37.79844525,144.96411782
287,Friday,4,44,3.0,-37.79690473,144.96440378
288,Friday,4,45,36.0,-37.81414074,144.9660938
289,Friday,4,46,3.0,-37.80240719,144.96156731
290,Friday,4,47,59.0,-37.81160331,144.96220077
291,Friday,4,48,8.0,-37.80631581,144.95866698
292,Friday,4,49,21.0,-37.80730067,144.95956055
293,Friday,4,50,10.0,-37.79808191,144.96721014
294,Friday,4,51,10.0,-37.80841814,144.95906317
295,Friday,4,52,15.0,-37.81252157,144.9619401
296,Friday,4,53,18.0,-37.8156419,144.965499
297,Friday,4,54,7.0,-37.804024,144.963084
298,Friday,4,55,37.0,-37.81006172,144.96142335
299,Friday,4,56,10.0,-37.81234775,144.96153311
300,Friday,4,57,25.0,-37.8176735,144.95025595
301,Friday,4,58,26.0,-37.81686074,144.95358075
302,Friday,4,59,30.0,-37.80825648,144.96304859
303,Friday,4,60,88.0,-37.81668188,144.96689540000003
304,Friday,4,61,19.0,-37.80767455,144.96309115
305,Friday,5,1,31.0,-37.813494399999996,144.96515324
306,Friday,5,2,29.0,-37.81380667,144.96516719
307,Friday,5,3,76.0,-37.81101523,144.96429485
308,Friday,5,4,90.0,-37.81487988,144.9660878
309,Friday,5,5,100.0,-37.81874249,144.96787656
310,Friday,5,6,163.0,-37.81911704,144.96558256
311,Friday,5,7,34.0,-37.81862929,144.97169395
312,Friday,5,8,25.0,-37.82293543,144.94717511
313,Friday,5,9,64.0,-37.81982992,144.95102556
314,Friday,5,10,22.0,-37.81876473,144.94710545
315,Friday,5,11,5.0,-37.81564989,144.93970695
316,Friday,5,12,11.0,-37.81457987,144.94292398
317,Friday,5,13,98.0,-37.81239679,144.95652653
318,Friday,5,14,73.0,-37.82011242,144.96291898
319,Friday,5,15,33.0,-37.81064378,144.96447132
320,Friday,5,16,25.0,-37.81573423,144.96521044
321,Friday,5,17,57.0,-37.81362542,144.97323592
322,Friday,5,18,31.0,-37.81344861,144.97305354
323,Friday,5,19,21.0,-37.81237202,144.96550671
324,Friday,5,20,20.0,-37.81172913,144.96824660000001
325,Friday,5,21,67.0,-37.81244703,144.96778757
326,Friday,5,22,166.0,-37.81786445,144.96506823
327,Friday,5,23,42.0,-37.81909256,144.95452749
328,Friday,5,24,222.0,-37.81887962,144.95449198
329,Friday,5,25,66.0,-37.82401776,144.95604426
330,Friday,5,26,80.0,-37.80869542,144.96049404
331,Friday,5,27,12.0,-37.80606888,144.95644693
332,Friday,5,28,108.0,-37.82129924,144.96879309
333,Friday,5,29,52.0,-37.81965808,144.96863453
334,Friday,5,30,59.0,-37.81121849,144.96656807
335,Friday,5,31,17.0,-37.8016968,144.96658911
336,Friday,5,32,63.0,-37.81573742,144.96685718
337,Friday,5,33,17.0,-37.81483252,144.97454056
338,Friday,5,34,26.0,-37.81537985,144.97415049999998
339,Friday,5,35,162.0,-37.82017828,144.96508877
340,Friday,5,36,19.0,-37.81652527,144.96121063
341,Friday,5,37,11.0,-37.80310271,144.96671452
342,Friday,5,38,339.0,-37.81723437,144.96715033
343,Friday,5,39,20.0,-37.81379749,144.96995745
344,Friday,5,40,21.0,-37.80999341,144.97227588
345,Friday,5,41,213.0,-37.81668633,144.96689733
346,Friday,5,42,17.0,-37.80008565,144.96386412
347,Friday,5,43,8.0,-37.79844525,144.96411782
348,Friday,5,44,7.0,-37.79690473,144.96440378
349,Friday,5,45,52.0,-37.81414074,144.9660938
350,Friday,5,46,7.0,-37.80240719,144.96156731
351,Friday,5,47,87.0,-37.81160331,144.96220077
352,Friday,5,48,20.0,-37.80631581,144.95866698
353,Friday,5,49,28.0,-37.80730067,144.95956055
354,Friday,5,50,14.0,-37.79808191,144.96721014
355,Friday,5,51,13.0,-37.80841814,144.95906317
356,Friday,5,52,20.0,-37.81252157,144.9619401
357,Friday,5,53,34.0,-37.8156419,144.965499
358,Friday,5,54,10.0,-37.804024,144.963084
359,Friday,5,55,138.0,-37.81006172,144.96142335
360,Friday,5,56,16.0,-37.81234775,144.96153311
361,Friday,5,57,95.0,-37.8176735,144.95025595
362,Friday,5,58,103.0,-37.81686074,144.95358075
363,Friday,5,59,36.0,-37.80825648,144.96304859
364,Friday,5,60,172.0,-37.81668188,144.96689540000003
365,Friday,5,61,31.0,-37.80767455,144.96309115
366,Friday,6,1,93.0,-37.813494399999996,144.96515324
367,Friday,6,2,90.0,-37.81380667,144.96516719
368,Friday,6,3,167.0,-37.81101523,144.96429485
369,Friday,6,4,187.0,-37.81487988,144.9660878
370,Friday,6,5,313.0,-37.81874249,144.96787656
371,Friday,6,6,583.0,-37.81911704,144.96558256
372,Friday,6,7,116.0,-37.81862929,144.97169395
373,Friday,6,8,103.0,-37.82293543,144.94717511
374,Friday,6,9,434.0,-37.81982992,144.95102556
375,Friday,6,10,95.0,-37.81876473,144.94710545
376,Friday,6,11,22.0,-37.81564989,144.93970695
377,Friday,6,12,55.0,-37.81457987,144.94292398
378,Friday,6,13,590.0,-37.81239679,144.95652653
379,Friday,6,14,207.0,-37.82011242,144.96291898
380,Friday,6,15,80.0,-37.81064378,144.96447132
381,Friday,6,16,97.0,-37.81573423,144.96521044
382,Friday,6,17,214.0,-37.81362542,144.97323592
383,Friday,6,18,178.0,-37.81344861,144.97305354
384,Friday,6,19,37.0,-37.81237202,144.96550671
385,Friday,6,20,28.0,-37.81172913,144.96824660000001
386,Friday,6,21,99.0,-37.81244703,144.96778757
387,Friday,6,22,561.0,-37.81786445,144.96506823
388,Friday,6,23,186.0,-37.81909256,144.95452749
389,Friday,6,24,777.0,-37.81887962,144.95449198
390,Friday,6,25,209.0,-37.82401776,144.95604426
391,Friday,6,26,162.0,-37.80869542,144.96049404
392,Friday,6,27,39.0,-37.80606888,144.95644693
393,Friday,6,28,339.0,-37.82129924,144.96879309
394,Friday,6,29,138.0,-37.81965808,144.96863453
395,Friday,6,30,65.0,-37.81121849,144.96656807
396,Friday,6,31,31.0,-37.8016968,144.96658911
397,Friday,6,32,175.0,-37.81573742,144.96685718
398,Friday,6,33,88.0,-37.81483252,144.97454056
399,Friday,6,34,65.0,-37.81537985,144.97415049999998
400,Friday,6,35,709.0,-37.82017828,144.96508877
401,Friday,6,36,69.0,-37.81652527,144.96121063
402,Friday,6,37,12.0,-37.80310271,144.96671452
403,Friday,6,38,658.0,-37.81723437,144.96715033
404,Friday,6,39,87.0,-37.81379749,144.96995745
405,Friday,6,40,71.0,-37.80999341,144.97227588
406,Friday,6,41,485.0,-37.81668633,144.96689733
407,Friday,6,42,48.0,-37.80008565,144.96386412
408,Friday,6,43,29.0,-37.79844525,144.96411782
409,Friday,6,44,21.0,-37.79690473,144.96440378
410,Friday,6,45,132.0,-37.81414074,144.9660938
411,Friday,6,46,21.0,-37.80240719,144.96156731
412,Friday,6,47,203.0,-37.81160331,144.96220077
413,Friday,6,48,58.0,-37.80631581,144.95866698
414,Friday,6,49,60.0,-37.80730067,144.95956055
415,Friday,6,50,27.0,-37.79808191,144.96721014
416,Friday,6,51,41.0,-37.80841814,144.95906317
417,Friday,6,52,52.0,-37.81252157,144.9619401
418,Friday,6,53,121.0,-37.8156419,144.965499
419,Friday,6,54,39.0,-37.804024,144.963084
420,Friday,6,55,497.0,-37.81006172,144.96142335
421,Friday,6,56,59.0,-37.81234775,144.96153311
422,Friday,6,57,459.0,-37.8176735,144.95025595
423,Friday,6,58,335.0,-37.81686074,144.95358075
424,Friday,6,59,117.0,-37.80825648,144.96304859
425,Friday,6,60,365.0,-37.81668188,144.96689540000003
426,Friday,6,61,89.0,-37.80767455,144.96309115
427,Friday,7,1,283.0,-37.813494399999996,144.96515324
428,Friday,7,2,275.0,-37.81380667,144.96516719
429,Friday,7,3,339.0,-37.81101523,144.96429485
430,Friday,7,4,478.0,-37.81487988,144.9660878
431,Friday,7,5,805.0,-37.81874249,144.96787656
432,Friday,7,6,1431.0,-37.81911704,144.96558256
433,Friday,7,7,258.0,-37.81862929,144.97169395
434,Friday,7,8,233.0,-37.82293543,144.94717511
435,Friday,7,9,1299.0,-37.81982992,144.95102556
436,Friday,7,10,304.0,-37.81876473,144.94710545
437,Friday,7,11,47.0,-37.81564989,144.93970695
438,Friday,7,12,134.0,-37.81457987,144.94292398
439,Friday,7,13,2015.0,-37.81239679,144.95652653
440,Friday,7,14,463.0,-37.82011242,144.96291898
441,Friday,7,15,265.0,-37.81064378,144.96447132
442,Friday,7,16,385.0,-37.81573423,144.96521044
443,Friday,7,17,726.0,-37.81362542,144.97323592
444,Friday,7,18,706.0,-37.81344861,144.97305354
445,Friday,7,19,84.0,-37.81237202,144.96550671
446,Friday,7,20,65.0,-37.81172913,144.96824660000001
447,Friday,7,21,167.0,-37.81244703,144.96778757
448,Friday,7,22,1280.0,-37.81786445,144.96506823
449,Friday,7,23,559.0,-37.81909256,144.95452749
450,Friday,7,24,1977.0,-37.81887962,144.95449198
451,Friday,7,25,454.0,-37.82401776,144.95604426
452,Friday,7,26,330.0,-37.80869542,144.96049404
453,Friday,7,27,88.0,-37.80606888,144.95644693
454,Friday,7,28,826.0,-37.82129924,144.96879309
