Day,Time,Sensor_ID,Hourly_Counts
Friday,05:00:00,29,52.0
Friday,05:00:00,30,59.0
Friday,05:00:00,31,17.0
Friday,05:00:00,32,63.0
Friday,05:00:00,33,17.0
Friday,05:00:00,34,26.0
Friday,05:00:00,35,162.0
Friday,05:00:00,36,19.0
Friday,05:00:00,37,11.0
Friday,05:00:00,38,339.0
Friday,05:00:00,39,20.0
Friday,05:00:00,40,21.0
Friday,05:00:00,41,213.0
Friday,05:00:00,42,17.0
Friday,05:00:00,43,8.0
Friday,05:00:00,44,7.0
Friday,05:00:00,45,52.0
Friday,05:00:00,46,7.0
Friday,05:00:00,47,87.0
Friday,05:00:00,48,20.0
Friday,05:00:00,49,28.0
Friday,05:00:00,50,14.0
Friday,05:00:00,51,13.0
Friday,05:00:00,52,20.0
Friday,05:00:00,53,34.0
Friday,05:00:00,54,10.0
Friday,05:00:00,55,138.0
Friday,05:00:00,56,16.0
Friday,05:00:00,57,95.0
Friday,05:00:00,58,103.0
Friday,05:00:00,59,36.0
Friday,05:00:00,60,172.0
Friday,05:00:00,61,31.0
Friday,06:00:00,1,93.0
Friday,06:00:00,2,90.0
Friday,06:00:00,3,167.0
Friday,06:00:00,4,187.0
Friday,06:00:00,5,313.0
Friday,06:00:00,6,583.0
Friday,06:00:00,7,116.0
Friday,06:00:00,8,103.0
Friday,06:00:00,9,434.0
Friday,06:00:00,10,95.0
Friday,06:00:00,11,22.0
Friday,06:00:00,12,55.0
Friday,06:00:00,13,590.0
Friday,06:00:00,14,207.0
Friday,06:00:00,15,80.0
Friday,06:00:00,16,97.0
Friday,06:00:00,17,214.0
Friday,06:00:00,18,178.0
Friday,06:00:00,19,37.0
Friday,06:00:00,20,28.0
Friday,06:00:00,21,99.0
Friday,06:00:00,22,561.0
Friday,06:00:00,23,186.0
Friday,06:00:00,24,777.0
Friday,06:00:00,25,209.0
Friday,06:00:00,26,162.0
Friday,06:00:00,27,39.0
Friday,06:00:00,28,339.0
Friday,06:00:00,29,138.0
Friday,06:00:00,30,65.0
Friday,06:00:00,31,31.0
Friday,06:00:00,32,175.0
Friday,06:00:00,33,88.0
Friday,06:00:00,34,65.0
Friday,06:00:00,35,709.0
Friday,06:00:00,36,69.0
Friday,06:00:00,37,12.0
Friday,06:00:00,38,658.0
Friday,06:00:00,39,87.0
Friday,06:00:00,40,71.0
Friday,06:00:00,41,485.0
Friday,06:00:00,42,48.0
Friday,06:00:00,43,29.0
Friday,06:00:00,44,21.0
Friday,06:00:00,45,132.0
Friday,06:00:00,46,21.0
Friday,06:00:00,47,203.0
Friday,06:00:00,48,58.0
Friday,06:00:00,49,60.0
Friday,06:00:00,50,27.0
